ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
299,"Suzanne Brigit ""Sue"" Bird",0,0,0,1,0,0,0,1,0,1,0,0,3
300,"Suzanne Brigit ""Sue"" Bird",0,0,0,0,1,0,0,1,0,1,0,0,3
301,"Suzanne Brigit ""Sue"" Bird",0,0,0,0,1,0,0,1,0,1,0,0,3
302,Jos Angel Biriukov Aguirregabiria,1,0,1,0,0,0,0,1,0,0,1,0,0
303,Jos Angel Biriukov Aguirregabiria,1,0,0,1,0,0,0,1,0,0,1,0,0
304,Walter Allan Birtles,1,0,0,1,0,0,0,1,0,0,1,0,0
305,Abby Bishop,0,0,1,0,0,0,0,1,0,0,1,0,1
306,Ralph English Bishop,1,1,0,0,0,0,0,1,0,0,1,0,3
307,Ivan Bisson,1,0,0,1,0,0,0,1,0,0,1,0,0
308,Ivan Bisson,1,0,0,1,0,0,0,1,0,0,1,0,0
309,Mira Bjedov (-Nikoli),0,0,1,0,0,0,0,1,0,0,1,0,1
310,Uwe Blab,1,0,1,0,0,0,0,0,1,0,0,1,0
311,Uwe Blab,1,0,0,1,0,0,0,0,1,0,0,1,0
312,Andrea Jill Blackwell,0,0,1,0,0,0,0,1,0,0,1,0,0
313,Andrea Jill Blackwell,0,0,0,0,1,0,0,1,0,0,1,0,0
314,Percibal Eduardo Blades Brooks,1,0,1,0,0,0,0,1,0,0,1,0,0
315,Cori Lyn Blakebrough,0,0,0,0,1,0,0,1,0,1,0,0,0
316,Sonia Blanco Bernal,0,0,0,0,1,0,0,1,0,0,1,0,0
317,Beverley Bland (-Preston),0,0,1,0,0,0,0,1,0,1,0,0,0
